Contract ZIP Code;Firm ID;Department ID;Category ID;Person ID;Contract Start Date;Contract End Date;Company Start Date;Birth Date;Contract Terminatio Reason;Gender;Nationality;Contract Type
8800;0000063115;00;1;0000000269;02/07/2001;;27/01/2000;11/04/1971;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000664;01/04/2013;;03/01/2012;13/08/1981;;Femme;Belge;Durée indéterminée
3511;0000048568;02;3;0000015706;01/04/1999;30/11/2017;07/11/1989;27/10/1961;Rupture de contrat;Femme;Belge;Durée indéterminée
2480;0000048568;02;3;0000003199;01/07/1986;;01/07/1986;21/11/1966;;Femme;Belge;Durée indéterminée
9120;0000065831;04;1;0000000776;01/08/2008;30/06/2017;29/06/1992;14/02/1966;Préavis employeur;Homme;Belge;Durée indéterminée
8800;0000076670;00;3;0000000001;01/01/2017;;01/10/1999;22/04/1977;;Femme;Belge;Durée indéterminée
6280;0000019904;00;1;0000011212;16/05/2017;;03/08/2015;19/04/1968;;Femme;Belge;Durée indéterminée
6600;0000048568;02;3;0000015454;01/01/2000;30/11/2017;09/03/1995;13/01/1966;Rupture de contrat;Femme;Belge;Durée indéterminée
9300;0000063115;00;3;0000000290;01/04/2002;;01/04/2002;09/12/1972;;Homme;Belge;Durée indéterminée
7784;0000048568;02;3;0000013566;01/01/2002;;28/08/1995;13/01/1972;;Femme;Belge;Durée indéterminée
8890;0000063115;00;3;0000000720;01/03/2014;;02/09/2013;11/01/1973;;Femme;Belge;Durée indéterminée
3020;0000065727;00;3;0000000177;16/04/2012;;16/04/2012;04/05/1972;;Homme;Belge;Durée indéterminée
1600;0000048568;00;3;0000009839;14/09/1992;30/11/2017;14/09/1992;23/02/1967;Rupture de contrat;Femme;Belge;Durée indéterminée
9991;0000048568;00;3;0000001843;01/09/1987;30/11/2017;01/09/1987;09/10/1964;Rupture de contrat;Femme;Belge;Durée indéterminée
7134;0000015358;00;3;0000000145;17/07/2014;28/06/2016;17/07/2014;05/01/1984;Rupture de contrat;Homme;Belge;Durée indéterminée
2930;0000065831;04;1;0000008413;02/04/2012;16/02/2018;02/04/2012;04/05/1972;Autre firme;Homme;Belge;Durée indéterminée
9991;0000065727;00;3;0000000210;06/10/2014;31/10/2017;06/10/2014;08/11/1968;Autre Dép/Cat;Femme;Belge;Durée indéterminée
7134;0000065831;06;1;0000008536;01/03/2016;16/02/2018;03/10/2005;10/12/1964;Autre firme;Homme;Belge;Durée indéterminée
6530;0000019904;00;1;0000010720;08/12/2015;;08/09/2015;03/01/1974;;Femme;Belge;Durée indéterminée
2360;0000048568;02;3;0000009927;01/01/2011;30/11/2017;04/11/1985;19/02/1966;Rupture de contrat;Femme;Belge;Durée indéterminée
4845;0000048568;00;3;0000000917;01/10/1985;30/11/2017;01/10/1985;08/12/1966;Rupture de contrat;Femme;Belge;Durée indéterminée
7390;0000019904;00;1;0000010021;01/07/2014;26/04/2016;01/07/2014;28/09/1979;Force majeure;Femme;Marocaine;Durée indéterminée
4053;0000015358;00;3;0000000255;09/05/2017;;09/05/2017;30/05/1978;;Homme;Belge;Durée indéterminée
8370;0000076670;00;3;0000000027;01/01/2017;;01/02/1998;21/02/1971;;Homme;Belge;Durée indéterminée
8860;0000063115;00;1;0000000642;01/01/2013;;02/05/2011;02/12/1983;;Femme;Belge;Durée indéterminée
8890;0000063115;00;1;0000000725;01/05/2014;;04/03/2013;15/03/1981;;Femme;Belge;Durée indéterminée
4430;0000039917;00;3;0000090185;27/02/2012;31/08/2017;27/02/2012;18/12/1984;Préavis travailleur;Homme;Belge;Durée indéterminée
3012;0000048568;00;3;0000035348;05/06/2013;;01/06/2011;22/04/1964;;Femme;Belge;Durée indéterminée
8957;0000048568;02;3;0000035568;01/01/2016;;01/10/2012;19/03/1991;;Femme;Belge;Durée indéterminée
6540;0000019904;00;1;0000010444;01/07/2014;;05/11/2012;13/07/1978;;Femme;Belge;Durée indéterminée
9700;0000026478;00;3;0000000035;01/09/2014;;01/09/2014;21/04/1976;;Femme;Belge;Durée indéterminée
2845;0000048568;02;3;0000008421;01/01/2005;;13/08/1990;27/05/1969;;Femme;Belge;Durée indéterminée
9700;0000048568;00;3;0000037260;06/09/2016;;11/07/2016;09/08/1969;;Femme;Belge;Durée indéterminée
2060;0000009443;03;1;0000003833;25/08/2014;31/03/2017;25/08/2014;10/03/1970;Autre firme;Femme;Marocaine;Durée indéterminée
9506;0000048568;02;3;0000008428;01/01/2016;;08/10/1986;16/05/1966;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000212;03/07/2000;;03/07/2000;12/09/1979;;Femme;Belge;Durée indéterminée
9990;0000048568;02;3;0000008183;06/01/1992;;06/01/1992;07/12/1965;;Femme;Belge;Durée indéterminée
9700;0000076670;00;3;0000000033;01/01/2017;;01/11/1989;20/03/1965;;Femme;Belge;Durée indéterminée
8800;0000063115;00;3;0000000390;01/01/2006;;01/01/1993;10/10/1973;;Femme;Belge;Durée indéterminée
6000;0000019904;00;1;0000000328;01/04/2013;;24/02/2009;20/11/1974;;Femme;Belge;Durée indéterminée
2910;0000048568;00;3;0000030662;23/06/2009;;18/06/2007;27/06/1986;;Femme;Belge;Durée indéterminée
4040;0000039917;00;3;0000090261;01/07/2016;;14/03/2016;12/05/1980;;Femme;Marocaine;Durée indéterminée
6000;0000019904;00;1;0000000574;03/07/2013;;03/07/2013;14/07/1968;;Femme;Belge;Durée indéterminée
7850;0000015358;00;3;0000000120;06/01/2014;08/01/2016;06/01/2014;16/06/1970;Préavis travailleur;Femme;Belge;Durée indéterminée
9990;0000065727;00;3;0000000222;01/06/2015;01/04/2016;08/10/2014;30/07/1990;Préavis travailleur;Femme;Belge;Durée indéterminée
8720;0000032428;00;3;0000001318;04/11/2013;15/09/2017;04/11/2013;10/06/1969;Préavis travailleur;Femme;Belge;Durée indéterminée
9255;0000043838;00;1;0000001146;15/04/2016;;15/04/2016;12/07/1991;;Homme;Belge;Durée indéterminée
2910;0000048568;02;3;0000016865;01/01/2002;;12/05/1999;24/07/1969;;Femme;Belge;Durée indéterminée
7640;0000048568;02;3;0000008290;01/01/1997;30/11/2017;16/02/1988;06/09/1965;Rupture de contrat;Femme;Belge;Durée indéterminée
8600;0000048568;00;3;0000029163;20/03/2008;30/11/2017;13/09/2006;06/02/1985;Rupture de contrat;Femme;Belge;Durée indéterminée
6040;0000019904;00;1;0000010135;01/07/2014;;12/07/2010;28/07/1961;;Femme;Belge;Durée indéterminée
3050;0000048568;00;3;0000034915;06/09/2012;;01/12/2011;14/09/1986;;Femme;Belge;Durée indéterminée
1030;0000043838;00;1;0000018092;01/09/2017;;05/03/2016;17/04/1973;;Homme;Belge;Durée indéterminée
2040;0000043838;00;1;0000018141;01/10/2017;;09/08/2005;20/07/1971;;Homme;Belge;Durée indéterminée
8530;0000085179;00;1;0000092993;20/07/2017;;01/05/1998;23/01/1978;;Homme;Belge;Durée indéterminée
2040;0000043838;00;1;0000000766;01/04/2013;;16/08/2005;27/12/1982;;Homme;Belge;Durée indéterminée
8530;0000032428;00;1;0000001351;01/01/2014;;17/08/1992;25/08/1973;;Homme;Belge;Durée indéterminée
2040;0000043838;00;1;0000001113;15/02/2016;;15/02/2016;16/11/1988;;Homme;Belge;Durée indéterminée
6000;0000019904;00;1;0000000544;03/07/2013;30/11/2017;03/07/2013;24/05/1956;Pension (sans ind.);Femme;Belge;Durée indéterminée
6000;0000019904;00;1;0000000644;01/10/2013;;01/10/2013;20/06/1964;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000302;09/09/2002;;22/04/2002;05/01/1964;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000611;07/05/2012;;24/10/2011;11/07/1978;;Femme;Belge;Durée indéterminée
9300;0000076670;00;3;0000000012;01/01/2017;;01/08/2013;16/01/1987;;Homme;Belge;Durée indéterminée
2050;0000043838;00;1;0000000815;01/04/2013;;01/04/2013;28/07/1955;;Homme;Belge;Durée indéterminée
2500;0000065831;04;3;0000008553;07/06/2016;09/08/2017;07/06/2016;05/01/1982;Préavis employeur;Homme;Belge;Durée indéterminée
9120;0000043838;00;3;0000000447;01/01/2011;;01/12/2006;07/11/1956;;Homme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000295;01/07/2002;;10/09/2001;05/08/1982;;Femme;Belge;Durée indéterminée
2500;0000065831;04;1;0000008596;01/06/2017;16/02/2018;06/03/2017;14/03/1991;Autre firme;Homme;Belge;Durée indéterminée
8800;0000063115;00;3;0000000431;01/07/2006;;02/07/2001;06/11/1969;;Femme;Belge;Durée indéterminée
8600;0000048568;00;3;0000026798;10/07/2006;30/11/2017;23/01/2006;17/04/1986;Rupture de contrat;Femme;Belge;Durée indéterminée
9120;0000043838;00;1;0000001089;01/01/2016;;01/01/2016;28/07/1980;;Homme;Belge;Durée indéterminée
8530;0000032428;00;3;0000000529;01/10/2009;;01/10/2009;16/06/1987;;Homme;Belge;Durée indéterminée
9506;0000048568;00;3;0000009898;30/03/1987;30/11/2017;30/03/1987;25/12/1967;Rupture de contrat;Femme;Belge;Durée indéterminée
2040;0000065831;04;3;0000008509;18/08/2015;16/02/2018;18/08/2015;09/10/1974;Autre firme;Homme;Belge;Durée indéterminée
9700;0000032428;00;3;0000001544;01/01/2015;;01/09/2007;23/04/1969;;Femme;Belge;Durée indéterminée
6280;0000019904;00;1;0000010283;01/07/2014;;20/06/2011;20/06/1967;;Femme;Belge;Durée indéterminée
8800;0000048568;02;3;0000000195;13/02/1984;30/11/2017;13/02/1984;15/06/1964;Rupture de contrat;Femme;Belge;Durée indéterminée
9700;0000065727;00;3;0000000051;01/09/2006;;01/09/2006;24/12/1970;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000195;05/01/2000;;05/01/2000;04/06/1971;;Femme;Belge;Durée indéterminée
2930;0000043838;00;1;0000000924;01/09/2014;;01/09/2014;27/01/1964;;Homme;Belge;Durée indéterminée
6040;0000019904;00;1;0000000282;01/04/2013;;20/10/2009;31/10/1972;;Femme;Belge;Durée indéterminée
9032;0000043838;00;1;0000000637;23/04/2012;07/03/2016;23/04/2012;06/08/1979;Rupture de contrat;Homme;Belge;Durée indéterminée
1420;0000043838;00;1;0000000702;01/10/2012;31/05/2017;01/10/2012;22/09/1979;Autre Dép/Cat;Homme;Belge;Durée indéterminée
6040;0000019904;00;1;0000000167;12/02/2011;;20/07/2009;25/11/1966;;Femme;Belge;Durée indéterminée
9032;0000043838;00;1;0000018244;04/12/2017;;04/09/2017;02/05/1965;;Homme;Belge;Durée indéterminée
9420;0000000480;00;3;0000000311;23/03/2015;;23/03/2015;19/09/1972;;Homme;Belge;Durée indéterminée
1000;0000043838;00;1;0000000435;01/11/2010;;01/11/2010;01/03/1978;;Homme;Belge;Durée indéterminée
9800;0000065727;00;1;0000001039;26/04/2011;;26/04/2011;13/10/1976;;Homme;Belge;Durée indéterminée
9880;0000043838;00;1;0000018177;06/11/2017;;06/07/2015;05/10/1995;;Femme;Belge;Durée indéterminée
9800;0000065727;00;3;0000001031;17/06/2002;;17/06/2002;04/05/1963;;Homme;Belge;Durée indéterminée
3980;0000065831;01;1;0000008147;01/09/2005;16/02/2018;11/10/2004;05/07/1978;Autre firme;Homme;Belge;Durée indéterminée
9800;0000009021;00;3;0000000069;01/02/2007;;01/09/2006;01/02/1971;;Homme;Belge;Durée indéterminée
8800;0000048568;02;3;0000004896;02/10/1985;30/11/2017;02/10/1985;08/04/1967;Rupture de contrat;Femme;Belge;Durée indéterminée
8800;0000048568;02;3;0000014435;08/08/1986;;08/08/1986;17/12/1967;;Femme;Belge;Durée indéterminée
9800;0000032428;00;3;0000000362;17/09/2007;;17/09/2007;03/09/1981;;Homme;Belge;Durée indéterminée
9700;0000026478;00;1;0000000053;01/02/2016;;01/02/2016;26/06/1988;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000175;02/11/1999;;02/11/1999;01/02/1966;;Femme;Belge;Durée indéterminée
8800;0000065727;00;3;0000001015;01/09/2001;;01/09/2001;05/11/1969;;Femme;Belge;Durée indéterminée
9700;0000026478;00;1;0000000073;28/06/2017;;28/06/2017;21/02/1991;;Femme;Belge;Durée indéterminée
9050;0000075378;00;1;0000001951;01/11/2016;01/10/2017;23/03/2015;03/07/1985;Préavis travailleur;Homme;Suédoise;Durée indéterminée
1742;0000048568;00;3;0000026340;16/01/2006;14/03/2016;16/01/2006;18/11/1978;Faute grave;Femme;Belge;Durée indéterminée
1831;0000009021;00;3;0000000381;01/01/2018;;01/01/2018;12/01/1981;;Femme;Suédoise;Durée indéterminée
1831;0000047915;00;3;0000001247;01/01/2018;;01/01/2018;12/01/1981;;Femme;Suédoise;Durée indéterminée
9120;0000043838;00;1;0000000641;01/05/2012;24/04/2017;01/05/2012;10/10/1962;Préavis travailleur;Homme;Belge;Durée indéterminée
8957;0000063115;00;1;0000000511;01/09/2008;;24/10/2007;19/02/1986;;Femme;Belge;Durée indéterminée
1190;0000048568;00;3;0000032154;11/10/2010;30/11/2017;06/04/2010;09/02/1968;Rupture de contrat;Femme;Portugaise;Durée indéterminée
3390;0000048568;00;3;0000025418;23/02/2005;;23/02/2005;24/10/1972;;Femme;Belge;Durée indéterminée
8830;0000048568;02;3;0000017631;01/01/2001;30/11/2017;03/05/1999;04/04/1959;Rupture de contrat;Femme;Belge;Durée indéterminée
9900;0000000480;00;3;0000000494;02/01/2008;;02/01/2008;17/02/1973;;Homme;Belge;Durée indéterminée
8890;0000063115;00;1;0000000630;01/09/2012;;14/12/2011;11/02/1982;;Femme;Belge;Durée indéterminée
9032;0000032428;00;3;0000001545;01/01/2015;;10/07/2012;10/09/1973;;Homme;Belge;Durée indéterminée
9880;0000048568;00;3;0000023384;17/11/2003;;17/11/2003;03/10/1965;;Femme;Belge;Durée indéterminée
1780;0000043838;00;1;0000000957;06/10/2014;30/10/2016;06/10/2014;10/06/1990;Préavis employeur;Homme;Belge;Durée indéterminée
6040;0000019904;00;1;0000000206;20/09/2012;;20/09/2012;10/08/1966;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000411;13/02/2006;;08/03/2005;30/11/1977;;Femme;Belge;Durée indéterminée
3272;0000048568;02;3;0000015862;01/04/1999;30/11/2017;08/03/1993;23/02/1966;Rupture de contrat;Femme;Belge;Durée indéterminée
1730;0000043838;00;1;0000001213;09/01/2017;09/01/2017;09/01/2017;06/11/1975;Raison inconnue;Homme;Belge;Durée indéterminée
3840;0000048568;00;3;0000026266;02/01/2006;;02/01/2006;11/11/1973;;Femme;Belge;Durée indéterminée
3560;0000043838;00;1;0000001132;01/04/2016;31/10/2016;01/04/2016;04/08/1970;De commun accord;Homme;Belge;Durée indéterminée
3900;0000048568;00;3;0000031948;12/08/2010;;12/08/2010;26/04/1965;;Femme;Belge;Durée indéterminée
6900;0000048568;00;3;0000025478;21/03/2005;28/10/2017;17/03/2003;14/05/1980;Rupture de contrat;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000349;03/01/2005;;28/10/2003;02/03/1982;;Femme;Belge;Durée indéterminée
2980;0000065831;04;3;0000008576;01/01/2017;02/06/2017;01/08/2016;10/10/1980;Préavis travailleur;Femme;Belge;Durée indéterminée
1030;0000043838;00;3;0000001215;01/11/2016;01/11/2016;07/03/2008;24/04/1979;Raison inconnue;Homme;Belge;Durée indéterminée
2580;0000048568;02;3;0000015612;01/01/2000;;13/09/1993;21/04/1973;;Femme;Belge;Durée indéterminée
6043;0000019904;00;1;0000000191;16/08/2012;30/06/2017;16/08/2012;23/04/1980;Préavis travailleur;Femme;Belge;Durée indéterminée
9050;0000075378;00;1;0000001873;01/11/2016;;19/09/2011;15/12/1963;;Homme;Belge;Durée indéterminée
5350;0000048568;00;3;0000006035;10/08/1987;;10/08/1987;16/11/1967;;Femme;Belge;Durée indéterminée
6600;0000048568;02;3;0000008220;23/09/1993;30/11/2017;23/09/1993;09/05/1973;Rupture de contrat;Femme;Belge;Durée indéterminée
5070;0000043838;00;1;0000001160;10/05/2016;06/08/2016;10/05/2016;02/08/1981;Préavis employeur;Femme;Belge;Durée indéterminée
6530;0000019904;00;1;0000000298;01/04/2013;;01/04/2013;04/09/1955;;Femme;Belge;Durée indéterminée
9880;0000065727;00;3;0000000213;12/01/2015;02/02/2018;12/01/2015;17/04/1986;Préavis travailleur;Femme;Belge;Durée indéterminée
6043;0000019904;00;1;0000000576;16/09/2013;;16/09/2013;08/12/1960;;Femme;Belge;Durée indéterminée
9180;0000065727;00;3;0000000197;01/01/2014;;01/01/2014;28/04/1975;;Femme;Belge;Durée indéterminée
6530;0000019904;00;1;0000010344;01/07/2014;;01/07/2014;10/06/1970;;Femme;Belge;Durée indéterminée
2930;0000065831;00;3;0000008007;13/09/1999;16/02/2018;13/09/1999;29/02/1964;Autre firme;Homme;Belge;Durée indéterminée
6500;0000019904;00;1;0000000262;01/04/2013;;01/04/2013;14/02/1970;;Femme;Belge;Durée indéterminée
2930;0000065831;04;1;0000008524;04/01/2016;16/02/2018;07/04/2015;20/12/1983;Autre firme;Homme;Belge;Durée indéterminée
3390;0000048568;02;3;0000017324;01/01/2002;;15/05/1998;17/03/1971;;Femme;Belge;Durée indéterminée
1030;0000043838;00;3;0000018090;01/08/2017;;07/03/2008;24/04/1979;;Homme;Belge;Durée indéterminée
1420;0000043838;00;1;0000000693;01/10/2012;30/11/2017;01/10/2012;31/07/1960;Autre firme;Homme;Belge;Durée indéterminée
2350;0000048568;00;3;0000005986;17/04/1990;;17/04/1990;06/09/1966;;Femme;Belge;Durée indéterminée
4360;0000048568;00;3;0000021474;05/10/2002;;16/07/2001;02/11/1981;;Femme;Belge;Durée indéterminée
2930;0000065831;04;1;0000008322;01/09/2010;16/02/2018;15/03/2010;20/12/1983;Autre firme;Homme;Belge;Durée indéterminée
7141;0000019904;00;1;0000000037;19/05/2009;;19/05/2009;10/04/1968;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000614;21/05/2012;;21/12/2011;27/01/1983;;Femme;Belge;Durée indéterminée
2910;0000048568;00;3;0000031684;29/05/2010;;26/05/2008;09/07/1984;;Femme;Belge;Durée indéterminée
8800;0000063115;00;3;0000000252;08/01/2001;;08/01/2001;30/09/1977;;Femme;Belge;Durée indéterminée
3910;0000048568;02;3;0000009386;01/01/2013;;17/02/1991;19/11/1969;;Femme;Belge;Durée indéterminée
8800;0000063115;00;3;0000000325;01/11/2003;;01/11/2003;02/03/1981;;Femme;Belge;Durée indéterminée
8800;0000063115;00;3;0000000471;01/08/2007;;01/08/2007;21/05/1984;;Femme;Belge;Durée indéterminée
9800;0000063115;00;3;0000000956;01/03/2017;08/12/2017;01/03/2017;26/06/1970;Préavis travailleur;Homme;Belge;Durée indéterminée
6600;0000048568;00;3;0000001220;12/08/1986;30/11/2017;12/08/1986;28/07/1966;Rupture de contrat;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000575;01/09/2011;;10/03/2011;31/05/1977;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000159;02/11/1999;;02/11/1999;09/12/1962;;Femme;Belge;Durée indéterminée
3404;0000048568;00;3;0000006076;17/07/1987;;17/07/1987;29/06/1968;;Femme;Belge;Durée indéterminée
3721;0000048568;00;3;0000005920;01/12/1986;30/11/2017;01/12/1986;19/05/1967;Rupture de contrat;Femme;Belge;Durée indéterminée
8830;0000048568;02;3;0000023613;01/01/2004;30/11/2017;28/08/1996;13/11/1972;Rupture de contrat;Femme;Belge;Durée indéterminée
1547;0000048568;00;3;0000008124;06/10/1986;;06/10/1986;10/09/1968;;Femme;Belge;Durée indéterminée
4845;0000048568;00;3;0000015854;01/04/1999;30/11/2017;25/05/1990;20/07/1972;Rupture de contrat;Femme;Belge;Durée indéterminée
7022;0000048568;00;3;0000001060;27/02/1986;;27/02/1986;11/02/1968;;Femme;Belge;Durée indéterminée
3130;0000048568;00;3;0000030794;25/08/2009;;25/08/2009;08/04/1984;;Femme;Belge;Durée indéterminée
4890;0000048568;00;3;0000007537;07/09/1992;;07/09/1992;10/02/1973;;Femme;Belge;Durée indéterminée
1600;0000048568;00;3;0000009938;02/04/1987;30/11/2017;02/04/1987;16/08/1964;Rupture de contrat;Femme;Belge;Durée indéterminée
6043;0000019904;00;1;0000010113;01/07/2014;28/10/2016;01/07/2014;25/10/1979;Force majeure;Femme;Belge;Durée indéterminée
3404;0000048568;02;3;0000000172;23/09/1981;;23/09/1981;10/06/1965;;Femme;Belge;Durée indéterminée
6043;0000019904;00;1;0000000241;01/10/2012;;24/05/2011;04/10/1966;;Femme;Belge;Durée indéterminée
1030;0000043838;00;1;0000000859;06/01/2014;;06/01/2014;03/09/1982;;Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000000331;01/04/2013;;01/04/2013;04/06/1970;;Femme;Belge;Durée indéterminée
6200;0000019904;00;1;0000000348;01/04/2013;;08/10/2009;25/06/1977;;Femme;Belge;Durée indéterminée
5100;0000043838;00;1;0000000617;01/02/2012;;01/02/2012;09/06/1972;;Homme;Belge;Durée indéterminée
2930;0000065831;04;1;0000008546;11/04/2016;16/02/2018;11/04/2016;01/04/1982;Autre firme;Homme;Belge;Durée indéterminée
1180;0000015358;00;3;0000000235;11/04/2016;;11/04/2016;03/11/1979;;Femme;Belge;Durée indéterminée
5300;0000015358;00;3;0000000117;02/12/2013;09/12/2016;02/12/2013;20/07/1980;Préavis travailleur;Homme;Belge;Durée indéterminée
9840;0000065727;00;3;0000000192;26/08/2013;21/10/2016;26/08/2013;04/08/1982;De commun accord;Homme;Belge;Durée indéterminée
9940;0000075378;00;1;0000001306;01/11/2016;;20/08/1990;12/01/1957;;Femme;Belge;Durée indéterminée
9100;0000043838;00;1;0000001170;01/07/2016;24/01/2018;01/07/2016;12/10/1992;mod.unil.travailleur;Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000000689;01/10/2013;;24/02/2011;07/06/1986;;Femme;Belge;Durée indéterminée
8791;0000032428;00;1;0000000671;01/07/2010;;05/01/2009;20/07/1965;;Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000011207;10/05/2017;;10/02/2017;14/07/1990;;Femme;Belge;Durée indéterminée
6200;0000019904;00;1;0000010343;01/07/2014;14/07/2017;01/07/2014;20/10/1971;Préavis travailleur;Femme;Belge;Durée indéterminée
6200;0000019904;00;1;0000010739;26/04/2016;;01/04/2013;10/06/1961;;Femme;Belge;Durée indéterminée
6200;0000047915;00;3;0000000061;01/02/2007;;17/01/2000;29/11/1967;;Homme;Belge;Durée indéterminée
9041;0000075378;00;1;0000001865;01/11/2016;30/10/2017;22/08/2011;24/03/1970;Rupture de contrat;Homme;Belge;Durée indéterminée
9040;0000075378;00;1;0000001832;01/11/2016;;27/09/2010;04/04/1987;;Homme;Belge;Durée indéterminée
9940;0000075378;00;3;0000001213;01/11/2016;;17/10/1983;02/03/1962;;Femme;Belge;Durée indéterminée
9340;0000043838;00;1;0000018203;06/11/2017;;06/11/2017;18/06/1994;;Homme;Belge;Durée indéterminée
1180;0000047915;00;3;0000000056;01/02/2007;;19/10/1998;28/09/1959;;Femme;Belge;Durée indéterminée
9940;0000075378;00;1;0000001504;01/11/2016;;14/09/1998;11/04/1965;;Femme;Belge;Durée indéterminée
1180;0000048568;00;3;0000004852;07/02/1991;;07/02/1991;25/10/1967;;Femme;Belge;Durée indéterminée
1480;0000043838;00;1;0000000892;27/03/2014;28/05/2017;27/03/2014;07/04/1992;Rupture de contrat;Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000010223;01/07/2014;30/07/2017;01/07/2014;06/09/1990;Préavis travailleur;Femme;Belge;Durée indéterminée
7500;0000065727;00;1;0000000814;11/06/2007;;11/06/2007;30/09/1962;;Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000000303;01/04/2013;;16/09/2011;17/07/1975;;Femme;Belge;Durée indéterminée
9090;0000048568;00;3;0000017211;04/02/2000;28/03/2016;08/06/1998;03/05/1968;Force majeure;Femme;Belge;Durée indéterminée
5030;0000015358;00;3;0000000272;06/11/2017;08/12/2017;06/11/2017;31/08/1989;Rupture de contrat;Homme;Belge;Durée indéterminée
9940;0000076670;00;3;0000000059;01/03/2017;;02/09/2016;12/08/1964;;Femme;Belge;Durée indéterminée
2930;0000043838;00;3;0000000987;05/01/2015;;05/01/2015;14/06/1955;;Homme;Belge;Durée indéterminée
1400;0000043838;01;3;0000000724;01/10/2012;30/11/2017;01/10/2012;19/11/1965;Autre firme;Homme;Belge;Durée indéterminée
5300;0000057765;00;1;0000000003;12/08/2013;21/09/2017;12/08/2013;19/12/1988;Rupture de contrat;Homme;Belge;Durée indéterminée
1400;0000043838;00;1;0000000703;01/10/2012;30/09/2017;01/10/2012;03/04/1957;Pension (sans ind.);Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000000349;01/04/2013;16/07/2017;01/04/2013;11/03/1961;Préavis travailleur;Femme;Belge;Durée indéterminée
5300;0000015358;00;3;0000000249;19/01/2017;;19/01/2017;13/05/1985;;Homme;Belge;Durée indéterminée
6200;0000019904;00;1;0000000326;01/04/2013;07/02/2018;01/04/2013;29/05/1968;Force majeure;Femme;Belge;Durée indéterminée
6150;0000015358;00;3;0000000103;01/03/2012;;01/03/2012;13/12/1980;;Homme;Belge;Durée indéterminée
7640;0000048568;02;3;0000004649;01/01/2016;;16/02/1988;23/03/1960;;Femme;Belge;Durée indéterminée
5030;0000015358;00;3;0000000079;01/12/2010;10/06/2016;01/12/2010;09/05/1967;Rupture de contrat;Homme;Belge;Durée indéterminée
